rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,3598408,1,11,GBR,2025-01-30,35ISBknsCeZQtq66xABI9g,86,284066,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736aa2a180c7b009ca8454ef89,https://i.scdn.co/image/ab6761610000e5eb35d858c545fe337d3a152d65
2,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",3176442,1,15,GBR,2025-01-30,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
3,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,2745326,3,24,GBR,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
4,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2724811,4,15,GBR,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
5,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,2485849,1,27,GBR,2025-01-30,2262bWmqomIaJXwCRHr13j,93,211978,False,,2024-07-26,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53,https://i.scdn.co/image/ab6761610000e5ebe5ff5495fe99ee0fa0236087
6,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2040958,1,37,GBR,2025-01-30,6dOtVTDdiauQNBQEDOtlAB,96,210373,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
7,spotify:track:5tgSjvWO685Z0mYKefArMI,"Central Cee, Dave",CRG (feat. Dave),Columbia,2039094,7,1,GBR,2025-01-30,5tgSjvWO685Z0mYKefArMI,78,182040,True,uk drill,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735609b89507db8644ff7e1e7a,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
8,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,1930394,8,7,GBR,2025-01-30,2FAZskT9yRjp2Oow9szJD8,87,233229,False,,2024-11-08,https://i.scdn.co/image/ab67616d0000b2739041b9965925059507fb44af,https://i.scdn.co/image/ab6761610000e5eb7f76fd7dc8873ee94a14c244
9,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,1912691,2,43,GBR,2025-01-30,0WbMK4wrZ1wFSty9F7FCgu,92,218423,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
10,spotify:track:4pftaoQbbheCXSdleWIeDK,"Central Cee, 21 Savage",GBP (feat. 21 Savage),Columbia,1906629,10,2,GBR,2025-01-30,4pftaoQbbheCXSdleWIeDK,76,154800,True,uk drill,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735609b89507db8644ff7e1e7a,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
11,spotify:track:2zOmS55knKWSgScYPTNmGQ,Tate McRae,Sports car,RCA Records Label,1710430,11,1,GBR,2025-01-30,2zOmS55knKWSgScYPTNmGQ,85,165045,False,,2025-01-24,https://i.scdn.co/image/ab67616d0000b27318a681e1e525405b2f909032,https://i.scdn.co/image/ab6761610000e5ebb1e307280ceb6b69dc530a7c
12,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1570899,1,23,GBR,2025-01-30,5G2f63n7IPVPPjfNIGih7Q,90,157279,False,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
13,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1519778,1,42,GBR,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz,88,175459,True,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
14,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,1497560,7,18,GBR,2025-01-30,1Es7AUAhQvapIcoh3qMKDL,93,256000,True,,2024-09-27,https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
15,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,1428954,1,44,GBR,2025-01-30,19XpFsce28aByvCC4g89tJ,84,251424,False,,2024-08-19,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a
16,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,1371092,3,63,GBR,2025-01-30,17phhZDn6oGtzMe56NuWvj,89,210688,False,,2023-09-15,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
17,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",1339036,6,30,GBR,2025-01-30,51rfRCiUSvxXlCSCfIztBy,88,157146,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
18,spotify:track:6jx0JZB3f0Cc2jjdldYaDb,"Central Cee, Lil Durk",Truth In The Lies (feat. Lil Durk),Columbia,1318989,18,1,GBR,2025-01-30,6jx0JZB3f0Cc2jjdldYaDb,77,142786,True,uk drill,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735609b89507db8644ff7e1e7a,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
19,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,1316151,1,70,GBR,2025-01-30,0mflMxspEfB0VbI1kyLiAv,86,182346,False,,2022-10-14,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918,https://i.scdn.co/image/ab6761610000e5eb8c52b10e110f62fe45761590
20,spotify:track:5rrwj9g1c4kwnPSnsXP7g3,Sam Fender,Arm's Length,Polydor Records,1198634,20,1,GBR,2025-01-30,5rrwj9g1c4kwnPSnsXP7g3,68,239600,True,,2025-01-24,https://i.scdn.co/image/ab67616d0000b273abaf6209cca927eb9ee7e17d,https://i.scdn.co/image/ab6761610000e5eb4a3dfbf28e00c02d9d9494e8
21,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,1186353,12,423,GBR,2025-01-30,003vvx7Niy0yvhvHt4a68B,86,222973,False,alternative rock,2004,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d,https://i.scdn.co/image/ab6761610000e5eb207b21f3ed0ee96adce3166a
22,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,1180460,3,42,GBR,2025-01-30,5fZJQrFKWQLb7FpJXZ1g7K,82,171291,True,,2024-05-31,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,https://i.scdn.co/image/ab6761610000e5eb89447fe120bae042c52fad07
23,spotify:track:2Zej1ZTJJNDcRj8e8iWUUo,"Central Cee, Skepta",Ten (feat. Skepta),Columbia,1162082,23,1,GBR,2025-01-30,2Zej1ZTJJNDcRj8e8iWUUo,74,122720,True,uk drill,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735609b89507db8644ff7e1e7a,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
24,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,1142303,24,14,GBR,2025-01-30,6jbYpRPTEFl1HFKHk1IC0m,90,278014,True,,2024-10-28,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c,https://i.scdn.co/image/ab6761610000e5ebdfa2b0c7544a772042a12e52
25,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,1140652,11,37,GBR,2025-01-30,3QaPy1KgI7nu9FJEQUgn6h,92,261466,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
26,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,1121766,7,38,GBR,2025-01-30,3Vr3zh0r7ALn8VLqCiRR10,86,172533,False,,2024-05-10,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,https://i.scdn.co/image/ab6761610000e5ebb770aab80045c57b562b2de2
27,spotify:track:3wo3d0I5H8KjkwGvnz8WbB,"Sonny Fodera, Jazzy, D.O.D",Somedays,Solotoko,1113959,23,26,GBR,2025-01-30,3wo3d0I5H8KjkwGvnz8WbB,80,207168,False,house,2024-07-26,https://i.scdn.co/image/ab67616d0000b273d572297e63fcc5a8ca10440f,https://i.scdn.co/image/ab6761610000e5eb9f5a2f7447e5647bc2640840
28,spotify:track:4ys3y9djWZurOdyouMlcBG,Central Cee,Now We're Strangers,Columbia,1106145,28,1,GBR,2025-01-30,4ys3y9djWZurOdyouMlcBG,75,206320,True,uk drill,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735609b89507db8644ff7e1e7a,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
29,spotify:track:3dj4wgM3cPeuLwMNHDuBon,Teddy Swims,The Door,Warner Records,1092520,27,38,GBR,2025-01-30,3dj4wgM3cPeuLwMNHDuBon,86,212648,False,,2023-09-15,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
30,spotify:track:2A1aS3mwuGuX2yk1bgxOvA,"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose),Atlantic Records UK,1091471,12,33,GBR,2025-01-30,2A1aS3mwuGuX2yk1bgxOvA,82,138246,False,,2024-03-22,https://i.scdn.co/image/ab67616d0000b2732501aee4227a3288fe0000b5,https://i.scdn.co/image/ab6761610000e5eb69f2788fee42e28951cbbcc8
31,spotify:track:1eTaznNW4Xxtx9za2SMTXB,Doechii,DENIAL IS A RIVER,Top Dawg Entertainment/Capitol Records,1081657,31,4,GBR,2025-01-30,1eTaznNW4Xxtx9za2SMTXB,86,159586,True,,2024-08-30,https://i.scdn.co/image/ab67616d0000b273b245099fe26319344ddf6054,https://i.scdn.co/image/ab6761610000e5ebca2fee52c41d3f58ceb6474b
32,spotify:track:3BntzKsnLf2pc0dsvE3Zav,Teddy Swims,Bad Dreams,Warner Records,1079828,32,18,GBR,2025-01-30,3BntzKsnLf2pc0dsvE3Zav,74,184577,False,,2025-01-24,https://i.scdn.co/image/ab67616d0000b27370b88fc5a2e13bc5440d947c,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
33,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1079524,1,54,GBR,2025-01-30,3xkHsmpQCBMytMJNiDf3Ii,86,180304,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,https://i.scdn.co/image/ab6761610000e5ebd2b2a1cea3b6b44f4bae14b2
34,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,1076323,1,34,GBR,2025-01-30,2tHwzyyOLoWSFqYNjeVMzj,85,186365,True,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
35,spotify:track:3ZZyUf7WkhfN1JkQZZ00fI,Sam Fender,People Watching,Polydor Records,1070502,14,11,GBR,2025-01-30,3ZZyUf7WkhfN1JkQZZ00fI,73,311480,False,,2024-11-15,https://i.scdn.co/image/ab67616d0000b27397fcb549b471c6d54e0b0afd,https://i.scdn.co/image/ab6761610000e5eb4a3dfbf28e00c02d9d9494e8
36,spotify:track:25fvND4h7BT76CB77Mjsm3,Central Cee,Limitless,Columbia,1062328,36,1,GBR,2025-01-30,25fvND4h7BT76CB77Mjsm3,74,201226,True,uk drill,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735609b89507db8644ff7e1e7a,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
37,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,Sabrina Carpenter,Bed Chem,Island Records,1047149,7,23,GBR,2025-01-30,1UHS8Rf6h5Ar3CDWRd3wjF,87,171869,False,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
38,spotify:track:2VyvDGdcVY04cNYou9MFVX,"PAWSA, The Adventures Of Stevie V",Dirty Cash (Money Talks),Altra Moda Music,1025949,38,11,GBR,2025-01-30,2VyvDGdcVY04cNYou9MFVX,81,221448,False,tech house,2024-11-15,https://i.scdn.co/image/ab67616d0000b273388a49c048fd9f67e338c3c6,https://i.scdn.co/image/ab6761610000e5ebe3359e9c1a4c636df3672bcd
39,spotify:track:6OFCzD4d8kjBOJHxz41gqA,"Dream Supplier, Baby Sleeps, Background White Noise",Clean Baby Sleep White Noise (Loopable),Dream Supplier,1022273,23,58,GBR,2025-01-30,6OFCzD4d8kjBOJHxz41gqA,52,142221,False,,2022-02-15,https://i.scdn.co/image/ab67616d0000b2731cc61714f48de6ab0a52675e,https://i.scdn.co/image/ab6761610000e5ebb6f0bf7ad35d39d2491c8d52
40,spotify:track:3j6CeoBBlm40Msn1JE1SPD,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,1022090,8,35,GBR,2025-01-30,3j6CeoBBlm40Msn1JE1SPD,69,184841,False,,2023-09-21,https://i.scdn.co/image/ab67616d0000b273a21d22ecf823e1c90aa22d1f,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
41,spotify:track:63Pi2NAx5yCgeLhCTOrEou,Imogen Heap,Headlock,Megaphonic,1008221,35,10,GBR,2025-01-30,63Pi2NAx5yCgeLhCTOrEou,83,215338,False,,2005,https://i.scdn.co/image/ab67616d0000b2730cabafb8b01b956fae313c57,https://i.scdn.co/image/ab6761610000e5eb7ed0386d30b59531eddd34ba
42,spotify:track:0zgcef8wT0O27OI2vPGnB9,Central Cee,No Introduction,Columbia,1005346,42,1,GBR,2025-01-30,0zgcef8wT0O27OI2vPGnB9,75,161306,True,uk drill,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735609b89507db8644ff7e1e7a,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
43,spotify:track:6eWAWHm0cuOaPGDWhoLJ7s,Myles Smith,Nice To Meet You,RCA Records Label,986660,31,12,GBR,2025-01-30,6eWAWHm0cuOaPGDWhoLJ7s,75,176000,False,,2024-12-13,https://i.scdn.co/image/ab67616d0000b273ddc27435014111f4f59aaf75,https://i.scdn.co/image/ab6761610000e5ebb770aab80045c57b562b2de2
44,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",984159,7,10,GBR,2025-01-30,2CGNAOSuO1MEFCbBRgUzjd,88,177598,False,hip hop,2024-11-21,https://i.scdn.co/image/ab67616d0000b27309d6ed214f03fbb663e46531,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
45,spotify:track:6s8WSX1MxNThrot8ThI6fG,Travis Scott,4X4,Cactus Jack / Epic,970313,45,1,GBR,2025-01-30,6s8WSX1MxNThrot8ThI6fG,86,190581,True,rap,2025-01-24,https://i.scdn.co/image/ab67616d0000b27374bdfbcc73b08c535b4d6564,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
46,spotify:track:6393yGahSJ9slVdOwSxOVR,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,960176,22,32,GBR,2025-01-30,6393yGahSJ9slVdOwSxOVR,69,258034,False,,2023-09-21,https://i.scdn.co/image/ab67616d0000b273a21d22ecf823e1c90aa22d1f,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
47,spotify:track:3T8y3z2g4KTQqtRjTY05JM,Central Cee,5 Star,Columbia,953891,47,1,GBR,2025-01-30,3T8y3z2g4KTQqtRjTY05JM,73,160133,True,uk drill,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735609b89507db8644ff7e1e7a,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
48,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,951939,27,135,GBR,2025-01-30,1mea3bSkSGXuIRvnydlB5b,86,242373,False,,2008-05-26,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb
49,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,951610,21,221,GBR,2025-01-30,3AJwUDP919kvQ9QcozQPxg,89,266773,False,,2000-07-10,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb
50,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,941892,17,248,GBR,2025-01-30,0ofHAoxe9vBkTCp2UQIavz,85,257800,False,classic rock,1977-02-04,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,https://i.scdn.co/image/ab6761610000e5ebc8752dd511cda8c31e9daee8
1,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",3641811,1,14,GBR,2025-01-23,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
2,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,3334430,2,10,GBR,2025-01-23,35ISBknsCeZQtq66xABI9g,86,284066,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736aa2a180c7b009ca8454ef89,https://i.scdn.co/image/ab6761610000e5eb35d858c545fe337d3a152d65
3,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,2920740,3,23,GBR,2025-01-23,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
4,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2866558,4,14,GBR,2025-01-23,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
5,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,2790705,1,26,GBR,2025-01-23,2262bWmqomIaJXwCRHr13j,93,211978,False,,2024-07-26,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53,https://i.scdn.co/image/ab6761610000e5ebe5ff5495fe99ee0fa0236087
6,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2308446,1,36,GBR,2025-01-23,6dOtVTDdiauQNBQEDOtlAB,96,210373,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
7,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,2110040,2,42,GBR,2025-01-23,0WbMK4wrZ1wFSty9F7FCgu,92,218423,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
8,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,1830576,8,6,GBR,2025-01-23,2FAZskT9yRjp2Oow9szJD8,87,233229,False,,2024-11-08,https://i.scdn.co/image/ab67616d0000b2739041b9965925059507fb44af,https://i.scdn.co/image/ab6761610000e5eb7f76fd7dc8873ee94a14c244
9,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1772235,1,22,GBR,2025-01-23,5G2f63n7IPVPPjfNIGih7Q,90,157279,False,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
10,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1625848,1,41,GBR,2025-01-23,2HRqTpkrJO5ggZyyK6NPWz,88,175459,True,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
11,spotify:track:5emD8K39MmotlCLOx9qzCH,"Central Cee, 21 Savage",GBP (feat. 21 Savage),Columbia,1613876,11,1,GBR,2025-01-23,5emD8K39MmotlCLOx9qzCH,81,154800,True,uk drill,2025-01-16,https://i.scdn.co/image/ab67616d0000b27314e2ad584cb24bd745cee7cc,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
12,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,1581910,7,17,GBR,2025-01-23,1Es7AUAhQvapIcoh3qMKDL,93,256000,True,,2024-09-27,https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
13,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",1529012,6,29,GBR,2025-01-23,51rfRCiUSvxXlCSCfIztBy,88,157146,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
14,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,1517159,1,43,GBR,2025-01-23,19XpFsce28aByvCC4g89tJ,84,251424,False,,2024-08-19,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a
15,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,1484509,3,62,GBR,2025-01-23,17phhZDn6oGtzMe56NuWvj,89,210688,False,,2023-09-15,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
16,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,1444039,1,69,GBR,2025-01-23,0mflMxspEfB0VbI1kyLiAv,86,182346,False,,2022-10-14,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918,https://i.scdn.co/image/ab6761610000e5eb8c52b10e110f62fe45761590
17,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,1262977,11,36,GBR,2025-01-23,3QaPy1KgI7nu9FJEQUgn6h,92,261466,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
18,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,1247317,3,41,GBR,2025-01-23,5fZJQrFKWQLb7FpJXZ1g7K,82,171291,True,,2024-05-31,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,https://i.scdn.co/image/ab6761610000e5eb89447fe120bae042c52fad07
19,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,1216468,7,37,GBR,2025-01-23,3Vr3zh0r7ALn8VLqCiRR10,86,172533,False,,2024-05-10,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,https://i.scdn.co/image/ab6761610000e5ebb770aab80045c57b562b2de2
20,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,1213825,12,422,GBR,2025-01-23,003vvx7Niy0yvhvHt4a68B,86,222973,False,alternative rock,2004,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d,https://i.scdn.co/image/ab6761610000e5eb207b21f3ed0ee96adce3166a
21,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,1191398,1,33,GBR,2025-01-23,2tHwzyyOLoWSFqYNjeVMzj,85,186365,True,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
22,spotify:track:4xdBrk0nFZaP54vvZj0yx7,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,1156344,8,34,GBR,2025-01-23,4xdBrk0nFZaP54vvZj0yx7,85,184841,False,,2023-09-22,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
